entity_name,address,floor,borough,state,zip,aed_num_person_trained,aed_num_aeds,latitude,longitude,community_district,council_district,census_tract_2010,nta_code,bbl,bin,location_point
CFN DAP,1 FORDHAM PLAZA,7th Floor,Bronx,New York,10458,4,1,40.86073227,-73.88958427,206,15,38700,BX06,2030330053,2088325,POINT (-73.88958427 40.86073227)
Olmstead Condominium,382 CENTRAL PARK WEST,Gym,Manhattan,New York,10001,17,1,40.79347366,-73.96567229,107,7,18500,MN12,1018337501,1074358,POINT (-73.96567229 40.79347366)
Citywide,63 FLUSHING AVENUE,NA,Brooklyn,New York,11205,0,1,40.69801326,-73.97498635,302,33,54300,BK99,3020230001,3000000,POINT (-73.97498635 40.69801326)
"Mutual Redevelopment Houses, Inc - 8A Comm. Rm",343 8 AVENUE,-,Manhattan,New York,10001,38,1,40.74772916,-73.99672298,104,3,9700,MN13,1007510001,1082793,POINT (-73.99672298 40.74772916)
"SoulCycle, Inc",140 EAST 63 STREET,Ground,Manhattan,New York,10065,12,1,40.76458524,-73.96605184,108,4,11402,MN40,1013977505,1042055,POINT (-73.96605184 40.76458524)
Equinox,10 COLUMBUS AVENUE,NA,Manhattan,New York,10019,19,3,40.76956546,-73.98452651,107,6,14500,MN14,1011310031,1076229,POINT (-73.98452651 40.76956546)
Yankee Stadiun,2 EAST 161 STREET,331,Bronx,New York,10451,20,1,40.82950379,-73.92932705,204,16,18900,BX26,2025390504,2000000,POINT (-73.92932705 40.82950379)
Fisk Building Assoc. LLC,250 WEST 57 STREET,Suite 201,Manhattan,New York,10107,3,1,40.76638394,-73.98211934,105,6,13700,MN17,1010280056,1024899,POINT (-73.98211934 40.76638394)
The Dominican Academy,44 EAST 68 STREET,Travel,Manhattan,New York,10065,7,1,40.76902375,-73.96686909,108,4,12200,MN40,1013820043,1041229,POINT (-73.96686909 40.76902375)
"Interpublic Group of Companies, Inc",1400 BROADWAY,4th floor / mailroom,Manhattan,New York,10018,4,1,40.75317959,-73.98720847,105,4,11300,MN17,1008140019,1015266,POINT (-73.98720847 40.75317959)
Morgan Stanley - ISG - New York Metro -1585 Broadway - Floor: 33,1585 BROADWAY,-,Manhattan,New York,10036,1,1,40.76020869,-73.98533366,105,3,12500,MN17,1010197502,1076193,POINT (-73.98533366 40.76020869)
